"",""
"Variables","Win","Loss"
"Overall...","4","4"
"Home...","2","1"
"Away...","2","3"
"Decided by three points or less...","0","0"
"Score 100-plus...","3","2"
"Score 99 or below...","1","2"
"Opponents score 100-plus...","3","4"
"Opponents score 99 or below...","1","0"
"Outshooting opponent (tied)...","4","1"
"Outshot by opponent...","0","3"
"More rebounds than opponent (tied)...","3","3"
"Fewer rebounds than opponent...","1","1"
"More assists than opponent (tied)...","3","2"
"Fewer assists than opponent...","1","2"
"More FTA than opponent (tied)...","3","1"
"Fewer FTA than opponent...","1","3"
"More 3FG than opponent (tied)...","2","2"
"Fewer 3FG than opponent...","2","2"
"More steals than opponent (tied)...","4","2"
"Fewer steals than opponent...","0","2"
"More blocks than opponent (tied)...","3","0"
"Fewer blocks than opponent...","1","4"
"More 2nd-chance points than opponent (tied)...","3","2"
"Fewer 2nd-chance points than opponent...","1","2"
"More fastbreak points than opponent (tied)...","3","3"
"Fewer fastbreak points than opponent...","1","1"
"More points in the paint than opponent (tied)...","3","2"
"Fewer points in the paint than opponent...","1","2"
"Leading after first quarter (tied)...","2","2"
"Trailing after first quarter...","2","2"
"Leading at halftime (tied)...","3","1"
"Trailing at halftime...","1","3"
"Leading after third quarter (tied)...","4","1"
"Trailing after third quarter...","0","3"
"Second game of back-to-back...","0","1"
"More bench points than the opponents (tied)...","2","1"
"Fewer bench points than the opponents...","2","3"
